week,author,source,path,description,State,,Preprocessed
10/13,Esteban,egodex,test/basic_pick_place/10.mp4,Move the toy from inside the bowl to inside the shovel.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/11.mp4,Move the hand sanitizer bottle from the bowl onto the plate.,Processed,,Annotated
10/13,Esteban,egodex,test/basic_pick_place/12.mp4,Move the brick from the bowl onto the plate.,Processed,,Failed
10/13,Esteban,egodex,test/basic_pick_place/13.mp4,Move the egg from the cup into the bowl.,Processed,,Failed
10/13,Esteban,egodex,test/basic_pick_place/14.mp4,Move the duck from the cup into the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/15.mp4,Place the stuffed toy on the plate.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/16.mp4,Place the duck on the plate.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/17.mp4,Place the duck in the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/18.mp4,Move the plate from the blue bowl to the orange bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/19.mp4,Place the white block in the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/20.mp4,Move the green apple from the pink bowl to the blue bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/21.mp4,Place the duck in the bowl.,Failed,,
10/13,Esteban,egodex,test/basic_pick_place/22.mp4,Place the box in the container. ,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/23.mp4,Place the stuffed toy in the cup.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/24.mp4,Place the duck on the plate.,Failed,,
10/13,Esteban,egodex,test/basic_pick_place/25.mp4,Place the block in the lid.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/26.mp4,Put the stuffed animal on the plate.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/27.mp4,Place the kiwi in the bowl.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/28.mp4,Place the pepper in the tray.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/29.mp4,Put the duck in the shovel.,Processed,,
10/13,Esteban,egodex,test/basic_pick_place/30.mp4,Place the stapler in the hard case.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/31.mp4,Place the cup on the tray.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/32.mp4,Place the screwdriver on the tray.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/33.mp4,Place the green block on the plate.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/34.mp4,Put the banana in the basket,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/35.mp4,Move the block from the container into the shovel,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/36.mp4,Place the tub in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/37.mp4,Place the stuffed animal in the bowl.,Pending,,
10/13,Esteban,egodex,test/basic_pick_place/38.mp4,Place the apple on the plate.,Pending,,
